ville,description,texte,mise_a_prix
Suresnes,Un appartement,"de 46,26 m² environ, au rez-de-jardin, porte gauche dans le dégagement, avec terrasse - Un [...]",204 200 €
Suresnes,Un appartement,"de 37,91 m² environ, au rez-de-jardin, porte du fond dans le dégagement, avec terrasse - Un [...]",167 700 €
Suresnes,Un studio,"de 27,48 m² environ, au 4ème étage, dégagement gauche, 2ème porte droite, avec balcon - Un emplacement de [...]",134 500 €
Suresnes,Un appartement,"de 41,48 m² environ, au 4ème étage, dégagement gauche, 1ère porte droite, avec balcon - Un [...]",182 432 €
Suresnes,Un appartement,"de 41,07 m² environ, au 5ème étage, dégagement gauche, 1ère porte droite, n°2.505, avec balcon Le [...]",178 450 €
Suresnes,Un studio,"de 27,48 m² environ, au 6ème étage, dégagement gauche, 2ème porte droite, n°2.604, avec balcon Le bien est [...]",120 267 €
Suresnes,Un appartement,"de 37,40 m² environ, au 1er étage, dégagement gauche, 3ème porte droite, avec balcon Le bien est loué",155 210 €
Gennevilliers,Un box intérieur,"dans le bâtiment au sous-sol, accessible par les escaliers P1 à P4, avec porte métallique [...]",1 500 €
Bourg-la-Reine,Deux parkings handicapés,"à l'extérieur du bâtiment B, au rez-de-chaussée, entre le bâtiment et la rue des Rosiers - [...]",10 000 €
Courbevoie,Un appartement,"de 88,50 m², escalier 2, au 10ème étage, n°2.103, comprenant : entrée, séjour, trois chambres, [...]",40 500 €
Sceaux,Un appartement,"de 84,70 m² (hors terrasse), au rez-de-chaussée, à droite, comprenant : entrée, séjour, trois [...]",500 000 €
Saint-Denis,Un appartement,"de 32,05m², au 3ème étage du bâtiment A, à droite sur le palier, comprenant : ancienne cuisine, pièce [...]",50 000 €
Romainville,Un appartement,"de 26,31 m², situé sur l'avenue Lénine, à gauche du commerce de laverie automatique, au [...]",20 000 €
Sevran,Un appartement,"de 67,98 m², au 9ème étage, comprenant : entrée, salon, balcon, cuisine, wc, salle de bains, placard, [...]",20 000 €
Neuilly-sur-Marne,Un appartement,"bâtiment U, au 1er étage, comprenant : entrée, séjour avec coin-cuisine, deux chambres, salle de [...]",44 000 €
Drancy,Un appartement,"immeuble B, escalier F, au 1er étage, comprenant : entrée, séjour-salon, cuisine, deux chambres, [...]",70 000 €
Livry-Gargan,Un pavillon à usage d'habitation,"de 90,93 m², comprenant : Au sous-sol : garage et buanderie-chaufferie Au [...]",165 000 €
Stains,Une maison d'habitation,"comprenant : Au rez-de-chaussée : entrée et hall, salon, cuisine, placard, salle de bains [...]",67 000 €
Noisy-le-Grand,Un appartement,"de 74,50 m², bâtiment A, au rez-de-chaussée, comprenant : entrée, quatre chambres, salle de bains, [...]",15 000 €
Épinay-sur-Seine,Un appartement,"de 61,85 m², au 1er étage, comprenant : entrée, cuisine, salle de bains, deux chambres, wc, séjour - [...]",30 000 €
Saint-Denis,Une boutique,"au rez-de-chaussée, en façade sur rue, et à gauche de l'entrée de l'immeuble, comprenant : une salle de [...]",25 000 €
Aubervilliers,Une maison,"comprenant : Au rez-de-chaussée : cuisine, séjour À l'étage : deux chambres, dressing, salle d'eau avec [...]",100 000 €
Le Blanc-Mesnil,Un appartement,"d'une superficie privative Loi Carrez de 63,94 m², surface habitable de 63,94 m², dans le bâtiment B, [...]",54 000 €
Sevran,Un pavillon d'habitation,"comprenant : Au rez-de-chaussée : entrée, wc, cuisine, pièce principale, chambre À l'étage [...]",150 000 €
Pierrefitte-sur-Seine,Un pavillon d'habitation,divisé en trois logements Occupé,75 000 €
Sevran,Un pavillon d'habitation,divisé en trois logements Loué,90 000 €
Tremblay-en-France,Un appartement,"de 56,69 m², au 1er étage , escalier C, formant le lot n°109, comprenant : séjour avec coin-cuisine, [...]",18 000 €
Les Pavillons-sous-Bois,Un appartement,"de 42,09 m², au 7ème étage, formant le lot n°33, comprenant : salon, cuisine, chambre, salle de bains [...]",35 000 €
Livry-Gargan,Biens,"Un logement, à droite, comprenant : toilettes, salle d'eau, cuisine, deux chambres Un local, à gauche, [...]",50 000 €
Villemomble,Un pavillon,"comprenant : Au rez-de-chaussée : un 1er appartement indépendant avec : salle de bains avec wc, deux [...]",100 000 €
